Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
F2,01/11/2019,19:00,Ajaccio,Rodez,1,0,H,0,0,D,8,6,2,1,10,16,7,3,0,0,0,0,1.9,3.1,4.5,2,3,4,1.97,3,4.15,2.03,3.16,4.43,1.95,3.1,4.4,2,3,4.5,2.05,3.2,4.6,1.99,3.05,4.23,2.5,1.5,2.67,1.51,2.69,1.53,2.57,1.48,-0.5,2,1.85,2.03,1.86,2.05,1.89,2,1.84,1.95,3,4.5,1.85,3.1,4.6,1.9,3.05,4.45,2.03,3,4.79,2,3,4.33,1.95,3.1,4.5,2.08,3.25,4.79,1.96,3.02,4.4,2.5,1.5,2.66,1.51,2.72,1.53,2.55,1.49,-0.5,2,1.85,2.03,1.86,2.04,1.9,1.98,1.86
F2,01/11/2019,19:00,Caen,Orleans,2,1,H,1,0,H,11,15,4,5,15,15,5,3,2,3,0,0,2.05,3.3,3.6,2,3.1,3.9,2.1,3,3.7,2.17,3.1,3.98,2.1,3.1,3.9,2.15,3,3.9,2.18,3.3,3.98,2.11,3.05,3.76,2.4,1.53,2.43,1.6,2.5,1.61,2.4,1.55,-0.25,1.83,2.02,1.83,2.07,1.86,2.09,1.82,2.03,2.05,3.3,3.6,2,3.1,3.9,2.05,3,3.8,2.16,2.96,4.25,2.1,3,4,2.1,3,4,2.16,3.3,4.25,2.1,3,3.88,2.5,1.5,2.6,1.53,2.6,1.58,2.46,1.53,-0.25,1.77,2.1,1.81,2.09,1.83,2.17,1.79,2.07
F2,01/11/2019,19:00,Chambly,Guingamp,1,5,A,1,2,A,14,16,4,7,15,14,5,4,3,3,0,0,3.4,3,2.3,3.4,3,2.2,3.35,2.95,2.25,3.59,3.02,2.35,3.5,3,2.3,3.5,3,2.3,3.59,3.1,2.4,3.39,2.96,2.29,2.4,1.53,2.61,1.53,2.63,1.55,2.49,1.51,0.25,1.88,1.98,1.91,1.99,1.91,2.04,1.87,1.97,3.4,3,2.3,3.4,3,2.2,3.25,2.9,2.35,3.61,2.82,2.48,3.4,2.88,2.38,3.3,2.9,2.45,3.61,3.05,2.48,3.38,2.87,2.36,2.5,1.5,2.63,1.52,2.63,1.56,2.5,1.51,0.25,1.8,2.05,1.84,2.06,1.87,2.11,1.82,2.02
F2,01/11/2019,19:00,Chateauroux,Auxerre,1,0,H,0,0,D,10,15,3,3,13,8,6,7,2,2,0,1,3.6,2.9,2.25,3.3,2.9,2.3,3.3,2.95,2.3,3.53,3.05,2.36,3.4,2.9,2.35,3.5,2.9,2.38,3.6,3.05,2.42,3.36,2.93,2.33,2.5,1.5,2.59,1.53,2.59,1.57,2.48,1.52,0.25,1.85,2,1.9,2,1.91,2.02,1.86,1.99,3.3,2.9,2.37,3.3,2.9,2.3,3.2,2.85,2.35,3.47,2.87,2.51,3.3,2.9,2.4,3.25,2.9,2.45,3.47,3.05,2.51,3.29,2.88,2.39,2.4,1.53,2.57,1.54,2.61,1.58,2.46,1.53,0.25,1.8,2.05,1.81,2.09,1.85,2.11,1.8,2.04
F2,01/11/2019,19:00,Troyes,Valenciennes,1,0,H,0,0,D,17,9,8,3,17,20,7,7,3,3,1,0,1.57,3.8,6,1.55,3.75,6,1.55,3.7,6.2,1.58,3.79,6.94,1.53,3.75,7,1.55,3.75,7,1.6,3.9,7,1.55,3.73,6.41,2.07,1.72,2.19,1.72,2.21,1.78,2.11,1.71,-1,2.05,1.8,2.08,1.83,2.1,1.86,2.04,1.81,1.55,4,6,1.55,3.75,6,1.53,3.75,6.4,1.56,3.82,7.44,1.55,3.75,7,1.55,3.75,7,1.62,4,7.44,1.55,3.73,6.48,2.07,1.72,2.11,1.78,2.2,1.78,2.1,1.72,-1,2.05,1.8,2.04,1.85,2.13,1.86,2.04,1.81
F2,02/11/2019,14:00,Clermont,Le Mans,0,1,A,0,1,A,14,8,3,2,14,15,7,1,2,4,1,0,1.61,3.6,5.75,1.65,3.5,5.25,1.65,3.55,5.2,1.69,3.46,6.32,1.65,3.7,5.5,1.65,3.7,5.75,1.7,3.8,6.32,1.67,3.51,5.4,1.9,1.9,1.92,1.93,1.98,1.98,1.9,1.89,-0.75,1.85,2,1.9,1.97,1.93,2.04,1.88,1.97,1.57,3.6,6,1.65,3.5,5.25,1.6,3.55,5.6,1.68,3.59,6.16,1.65,3.5,6,1.65,3.6,6,1.69,3.67,6.2,1.64,3.51,5.75,1.95,1.85,1.93,1.94,1.99,1.96,1.91,1.88,-0.75,1.83,2.02,1.88,2.02,1.88,2.06,1.85,2
F2,02/11/2019,14:00,Grenoble,Paris FC,0,0,D,0,0,D,7,12,4,5,15,20,3,1,2,2,2,0,1.9,3.1,4.5,1.87,3.1,4.5,1.93,3,4.45,2.02,3.04,4.78,1.95,3.1,4.5,1.95,3,4.75,2.02,3.11,4.78,1.95,3.01,4.44,2.7,1.44,2.76,1.45,2.86,1.48,2.71,1.44,-0.5,1.98,1.88,2,1.86,2.01,1.93,1.97,1.87,2,3.1,4.33,1.91,2.95,4.5,2,2.9,4.15,2.07,2.95,4.67,2.05,3,4.2,2.05,3,4.33,2.09,3.15,4.67,2.02,2.95,4.27,2.7,1.44,2.85,1.45,2.86,1.5,2.71,1.44,-0.5,2.1,1.77,2.07,1.83,2.13,1.85,2.05,1.8
F2,02/11/2019,14:00,Lens,Lorient,1,0,H,0,0,D,10,7,4,3,14,18,6,3,5,3,0,0,2.3,2.87,3.5,2.25,2.9,3.4,2.25,3,3.3,2.43,2.99,3.45,2.35,3,3.3,2.38,3,3.4,2.43,3.15,3.5,2.31,2.99,3.31,2.3,1.6,2.35,1.61,2.45,1.64,2.31,1.59,-0.25,1.98,1.88,2.03,1.83,2.03,1.92,1.98,1.86,2.45,2.87,3.25,2.25,2.9,3.4,2.35,2.95,3.15,2.55,2.98,3.25,2.45,3,3.1,2.5,3,3.13,2.6,3.13,3.45,2.38,2.96,3.21,2.35,1.57,2.48,1.58,2.48,1.65,2.36,1.57,-0.25,2.15,1.73,2.14,1.78,2.17,1.92,2.06,1.8
F2,02/11/2019,14:00,Niort,Sochaux,0,2,A,0,0,D,9,15,1,6,19,8,5,7,3,1,0,0,3.1,2.87,2.5,2.9,2.85,2.6,3,2.75,2.6,3.23,2.78,2.74,3.1,2.8,2.62,3.2,2.8,2.6,3.23,2.94,2.74,3.05,2.8,2.6,2.87,1.4,2.99,1.4,2.99,1.46,2.83,1.41,0,2.13,1.75,2.1,1.77,2.19,1.81,2.09,1.77,3,2.87,2.7,3,2.8,2.55,2.85,2.75,2.75,2.99,2.84,2.87,2.88,2.8,2.8,2.88,2.8,2.88,3.3,2.91,2.94,2.95,2.78,2.72,2.87,1.4,3,1.41,3,1.45,2.86,1.4,0,1.93,1.93,1.99,1.91,2.2,1.97,1.98,1.87
F2,04/11/2019,19:45,Le Havre,Nancy,1,1,D,1,0,H,12,13,7,4,17,20,5,3,2,3,0,0,2.2,3.1,3.5,2.2,3,3.4,2.15,3.05,3.45,2.26,3.07,3.74,2.2,3.1,3.6,2.25,3,3.6,2.27,3.15,3.74,2.19,3.04,3.49,2.3,1.6,2.38,1.58,2.41,1.65,2.3,1.59,-0.25,1.9,1.95,1.89,1.96,1.95,2.01,1.88,1.95,2.45,3.1,3.1,2.4,3,3,2.4,2.9,3.15,2.59,2.94,3.25,2.5,2.88,3.2,2.55,2.9,3.13,2.59,3.1,3.3,2.46,2.92,3.12,2.4,1.53,2.59,1.53,2.59,1.58,2.47,1.52,-0.25,2.13,1.75,2.17,1.76,2.19,1.82,2.12,1.76
