team,H_Games,H_FTWins,H_FTDraws,H_FTLost,H_HTWins,H_HTDraws,H_HTLost,H_FTGF,H_FTGA,H_FTGD,H_HTGF,H_HTGA,H_HTGD,H_SF,H_SA,H_SoTF,H_SoTA,H_CF,H_CA,H_FF,H_FA,H_YCF,H_YCA,H_RCF,H_RCA,A_Games,A_FTWins,A_FTDraws,A_FTLost,A_HTWins,A_HTDraws,A_HTLost,A_FTGF,A_FTGA,A_FTGD,A_HTGF,A_HTGA,A_HTGD,A_SF,A_SA,A_SoTF,A_SoTA,A_CF,A_CA,A_FF,A_FA,A_YCF,A_YCA,A_RCF,A_RCA
Blackburn,326.0,134.0,95.0,97.0,103.0,150.0,73.0,445.0,366.0,79.0,206.0,166.0,40.0,4292.0,3633.0,1869.0,1637.0,1850.0,1576.0,4012.0,3900.0,501.0,551.0,24.0,24.0,326.0,81.0,94.0,151.0,82.0,128.0,116.0,369.0,536.0,-167.0,161.0,208.0,-47.0,3392.0,4511.0,1495.0,2085.0,1585.0,2033.0,4111.0,3819.0,650.0,485.0,38.0,25.0
Sunderland,312.0,106.0,84.0,122.0,89.0,137.0,86.0,367.0,387.0,-20.0,174.0,175.0,-1.0,3824.0,3621.0,1783.0,1698.0,1759.0,1533.0,3675.0,3802.0,495.0,557.0,20.0,27.0,309.0,69.0,76.0,164.0,60.0,138.0,111.0,315.0,505.0,-190.0,130.0,212.0,-82.0,3030.0,4547.0,1431.0,2126.0,1401.0,2007.0,3769.0,3470.0,604.0,427.0,43.0,19.0
Charlton,232.0,83.0,64.0,85.0,65.0,99.0,68.0,303.0,313.0,-10.0,135.0,137.0,-2.0,2789.0,2918.0,1329.0,1337.0,1187.0,1329.0,2684.0,2756.0,298.0,360.0,15.0,17.0,234.0,58.0,68.0,108.0,55.0,91.0,88.0,233.0,356.0,-123.0,97.0,147.0,-50.0,2061.0,3452.0,917.0,1505.0,963.0,1657.0,2850.0,2516.0,356.0,297.0,21.0,16.0
Chelsea,320.0,218.0,73.0,29.0,164.0,132.0,24.0,683.0,242.0,441.0,322.0,107.0,215.0,5301.0,2666.0,2516.0,1166.0,2191.0,1225.0,3402.0,3918.0,414.0,598.0,21.0,29.0,320.0,177.0,65.0,78.0,127.0,124.0,69.0,516.0,311.0,205.0,223.0,144.0,79.0,4434.0,3422.0,2059.0,1554.0,1836.0,1519.0,3509.0,3816.0,582.0,566.0,31.0,22.0
Everton,323.0,170.0,78.0,75.0,114.0,147.0,62.0,524.0,337.0,187.0,227.0,144.0,83.0,4417.0,3520.0,2062.0,1580.0,2069.0,1560.0,3736.0,4244.0,447.0,620.0,21.0,25.0,318.0,87.0,104.0,127.0,69.0,155.0,94.0,346.0,421.0,-75.0,151.0,181.0,-30.0,3375.0,4254.0,1603.0,1925.0,1569.0,1899.0,3905.0,3830.0,511.0,449.0,34.0,23.0
Tottenham,321.0,190.0,68.0,63.0,129.0,127.0,65.0,585.0,326.0,259.0,251.0,135.0,116.0,5207.0,3222.0,2526.0,1526.0,2197.0,1459.0,3415.0,3793.0,423.0,623.0,12.0,31.0,320.0,119.0,80.0,121.0,81.0,151.0,88.0,441.0,441.0,0.0,183.0,186.0,-3.0,3863.0,3987.0,1855.0,1896.0,1707.0,1819.0,3629.0,3699.0,542.0,510.0,31.0,20.0
Fulham,336.0,149.0,80.0,107.0,120.0,122.0,94.0,502.0,435.0,67.0,215.0,189.0,26.0,4431.0,3895.0,1985.0,1742.0,1929.0,1804.0,3684.0,3947.0,458.0,535.0,28.0,28.0,338.0,68.0,102.0,168.0,64.0,146.0,128.0,352.0,555.0,-203.0,150.0,247.0,-97.0,3414.0,4896.0,1509.0,2266.0,1436.0,2208.0,3796.0,3913.0,563.0,426.0,25.0,18.0
Bolton,320.0,120.0,97.0,103.0,99.0,135.0,86.0,410.0,382.0,28.0,191.0,167.0,24.0,4296.0,3697.0,2040.0,1722.0,1873.0,1819.0,3938.0,3785.0,482.0,514.0,15.0,18.0,322.0,67.0,72.0,183.0,54.0,140.0,128.0,316.0,574.0,-258.0,141.0,245.0,-104.0,3218.0,4742.0,1431.0,2169.0,1502.0,2169.0,4147.0,3712.0,627.0,362.0,34.0,14.0
Leeds,305.0,134.0,76.0,95.0,88.0,143.0,74.0,414.0,359.0,55.0,163.0,151.0,12.0,3936.0,3354.0,1605.0,1411.0,1773.0,1522.0,3737.0,3779.0,521.0,535.0,26.0,34.0,314.0,97.0,74.0,143.0,68.0,145.0,101.0,373.0,458.0,-85.0,147.0,190.0,-43.0,3267.0,4151.0,1337.0,1715.0,1476.0,1923.0,3880.0,3687.0,597.0,482.0,37.0,31.0
Man City,320.0,205.0,54.0,61.0,162.0,112.0,46.0,668.0,279.0,389.0,299.0,112.0,187.0,5032.0,2698.0,2370.0,1256.0,2322.0,1354.0,3465.0,3389.0,407.0,556.0,23.0,28.0,321.0,135.0,72.0,114.0,105.0,139.0,77.0,494.0,400.0,94.0,230.0,179.0,51.0,4185.0,3457.0,1934.0,1695.0,1805.0,1591.0,3678.0,3413.0,604.0,471.0,31.0,25.0
