Date,HomeTeam,AwayTeam,GDPredictions,True_GDPredictions
09/11/2019,Burnley,West Ham,0.0,0.30577218177110266
09/11/2019,Chelsea,Crystal Palace,2.0,1.5784425954255163
09/11/2019,Leicester,Arsenal,0.0,0.3922233426208762
10/11/2019,Liverpool,Man City,0.0,0.10453403524893638
10/11/2019,Man United,Brighton,1.0,0.9098692163749036
09/11/2019,Newcastle,Bournemouth,0.0,0.19784876160146614
08/11/2019,Norwich,Watford,0.0,0.046373807575494974
09/11/2019,Southampton,Everton,-0.0,-0.11718834211346546
09/11/2019,Tottenham,Sheffield United,1.0,0.9884198963248946
10/11/2019,Wolves,Aston Villa,1.0,0.62381588879466
09/11/2019,Barnsley,Stoke,-0.0,-0.17260884742944735
09/11/2019,Birmingham,Fulham,-0.0,-0.2355750635804073
10/11/2019,Cardiff,Bristol City,1.0,0.5529439549941898
09/11/2019,Hull,West Brom,-0.0,-0.3455432230380299
09/11/2019,Leeds,Blackburn,1.0,1.4339006007585746
09/11/2019,Millwall,Charlton,0.0,0.46171458728822906
09/11/2019,Nott'm Forest,Derby,0.0,0.23560211398605094
09/11/2019,Preston,Huddersfield,1.0,0.7667753249439647
09/11/2019,QPR,Middlesbrough,1.0,0.7071062671087367
09/11/2019,Reading,Luton,1.0,0.6015182480545026
09/11/2019,Sheffield Weds,Swansea,0.0,0.3618654251696312
09/11/2019,Wigan,Brentford,-0.0,-0.42480653070022983
09/11/2019,Brest,Paris SG,-1.0,-1.1621496613703146
09/11/2019,Lille,Metz,1.0,0.8868477516419627
10/11/2019,Marseille,Lyon,0.0,0.08065819110325435
09/11/2019,Monaco,Dijon,1.0,1.4217295536985792
10/11/2019,Montpellier,Toulouse,1.0,0.7156557919591117
10/11/2019,Nantes,St Etienne,0.0,0.43403967093786444
08/11/2019,Nice,Bordeaux,0.0,0.2541724839781576
09/11/2019,Reims,Angers,0.0,0.3372041399800441
10/11/2019,Rennes,Amiens,0.0,0.4982438423701814
09/11/2019,Strasbourg,Nimes,1.0,0.6737094026317858
08/11/2019,Auxerre,Caen,0.0,0.47886381269910383
08/11/2019,Chambly,Clermont,-0.0,-0.4588105081818551
09/11/2019,Guingamp,Ajaccio,0.0,0.4511815594148201
08/11/2019,Le Mans,Grenoble,0.0,0.05240846033240468
08/11/2019,Lorient,Niort,1.0,1.0897083164382282
08/11/2019,Nancy,Troyes,0.0,0.33150563129896526
08/11/2019,Orleans,Paris FC,0.0,0.31873861566782896
11/11/2019,Rodez,Lens,-0.0,-0.4140069407989369
08/11/2019,Sochaux,Le Havre,-0.0,-0.0400806581811851
08/11/2019,Valenciennes,Chateauroux,0.0,0.35982145975048896
10/11/2019,M'gladbach,Werder Bremen,1.0,0.9098725461693695
09/11/2019,Bayern Munich,Dortmund,1.0,1.3223958757994692
08/11/2019,FC Koln,Hoffenheim,0.0,0.11000409979256451
10/11/2019,Freiburg,Ein Frankfurt,-0.0,-0.03184468651088672
09/11/2019,Hertha,RB Leipzig,-0.0,-0.49894408501684784
09/11/2019,Mainz,Union Berlin,0.0,0.3547628899186978
09/11/2019,Paderborn,Augsburg,0.0,0.043275577555669235
09/11/2019,Schalke 04,Fortuna Dusseldorf,1.0,1.0684998411237503
10/11/2019,Wolfsburg,Leverkusen,-0.0,-0.1419775475495557
10/11/2019,Darmstadt,Regensburg,0.0,0.298408021985509
10/11/2019,Heidenheim,Hannover,0.0,0.09784368798889753
09/11/2019,Holstein Kiel,Hamburg,-0.0,-0.4450431732837535
11/11/2019,Karlsruhe,Erzgebirge Aue,0.0,0.3545459113765431
10/11/2019,Nurnberg,Bielefeld,-0.0,-0.06428816018949136
09/11/2019,Sandhausen,Greuther Furth,0.0,0.24525630307044938
08/11/2019,Dresden,Wehen,0.0,0.37253986456527016
